Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
2022-03-13 7:43 AM,2022-03-13 11:13 AM,188,22,10,210,46,107,35
2022-03-12 3:56 AM,2022-03-12 11:53 AM,439,37,12,476,110,207,122
2022-03-11 3:06 AM,2022-03-11 9:14 AM,311,57,22,368,62,193,56
2022-03-10 2:39 AM,2022-03-10 9:15 AM,329,66,14,395,77,194,58
2022-03-08 1:47 AM,2022-03-08 10:41 AM,467,67,25,534,146,220,101
2022-03-07 1:41 AM,2022-03-07 9:12 AM,391,60,16,451,72,233,86
2022-03-05 5:38 AM,2022-03-05 11:35 AM,334,23,9,357,85,182,67
2022-03-03 2:05 AM,2022-03-03 8:58 AM,364,49,14,413,117,160,87
2022-03-02 12:24 AM,2022-03-02 7:48 AM,389,54,20,443,88,184,117
2022-02-28 11:50 PM,2022-03-01 7:54 AM,433,50,26,483,89,273,71
2022-02-28 1:25 AM,2022-02-28 8:44 AM,364,75,14,439,129,142,93
2022-02-26 5:15 PM,2022-02-26 8:06 PM,165,6,1,171,NA,NA,NA
2022-02-26 1:37 AM,2022-02-26 5:54 AM,224,32,5,256,26,146,52
2022-02-25 4:21 AM,2022-02-25 8:49 AM,257,10,9,267,61,141,55
2022-02-24 1:28 AM,2022-02-24 11:21 AM,521,72,24,593,114,331,76
2022-02-23 2:42 AM,2022-02-23 9:04 AM,351,31,11,382,110,198,43
2022-02-22 12:27 AM,2022-02-22 9:16 AM,467,62,26,529,106,277,84
2022-02-21 3:50 PM,2022-02-21 6:03 PM,122,11,1,133,NA,NA,NA
2022-02-20 11:11 PM,2022-02-21 11:20 AM,647,82,21,729,209,348,90
2022-02-20 4:05 AM,2022-02-20 9:12 AM,289,17,7,306,34,234,21
2022-02-19 3:38 AM,2022-02-19 10:22 AM,341,62,14,403,108,175,58
2022-02-18 2:48 AM,2022-02-18 8:57 AM,336,33,16,369,77,204,55
2022-02-16 12:52 AM,2022-02-16 7:22 AM,333,57,19,390,56,218,59
2022-02-15 1:17 AM,2022-02-15 9:42 AM,464,41,23,505,126,200,138
2022-02-14 1:38 AM,2022-02-14 9:49 AM,427,64,16,491,114,191,122
2022-02-12 1:57 AM,2022-02-12 10:22 AM,418,86,22,504,95,264,59
2022-02-10 12:11 AM,2022-02-10 8:02 AM,418,53,21,471,93,270,55
2022-02-09 1:00 AM,2022-02-09 7:33 AM,335,58,19,393,72,176,87
2022-02-08 2:18 AM,2022-02-08 8:31 AM,316,57,23,373,44,196,76
2022-02-07 1:10 AM,2022-02-07 9:40 AM,465,45,24,510,70,314,81
2022-02-06 6:26 AM,2022-02-06 10:53 AM,241,26,7,267,40,166,35
2022-02-05 4:18 AM,2022-02-05 10:00 AM,324,17,9,341,101,141,82
2022-02-04 12:40 AM,2022-02-04 9:41 AM,463,77,19,540,132,206,125
2022-02-02 11:43 PM,2022-02-03 7:25 AM,388,73,15,461,62,247,79
2022-02-02 6:11 AM,2022-02-02 9:25 AM,174,20,11,194,23,94,57
2022-02-01 1:03 AM,2022-02-01 8:40 AM,392,65,21,457,93,211,88
2022-01-31 12:10 AM,2022-01-31 7:27 AM,392,44,24,436,92,239,61
2022-01-29 2:30 AM,2022-01-29 9:59 AM,417,32,17,449,108,172,137
2022-01-28 2:26 AM,2022-01-28 8:10 AM,316,28,12,344,62,176,78
2022-01-26 11:31 PM,2022-01-27 8:45 AM,482,71,23,553,118,292,72
2022-01-26 12:05 AM,2022-01-26 10:13 AM,525,83,22,608,154,284,87
2022-01-23 4:29 AM,2022-01-23 7:23 AM,164,2,1,173,NA,NA,NA
2022-01-22 4:41 AM,2022-01-22 11:20 AM,363,36,15,399,68,222,73
2022-01-21 3:41 AM,2022-01-21 9:59 AM,322,56,23,378,76,176,70
2022-01-19 9:46 PM,2022-01-20 9:26 AM,624,76,48,700,160,387,77
2022-01-19 3:43 AM,2022-01-19 10:29 AM,340,66,17,406,52,197,91
2022-01-18 12:38 AM,2022-01-18 10:59 AM,552,68,23,620,116,365,71
2022-01-17 12:06 PM,2022-01-17 4:37 PM,250,21,7,271,54,173,23
2022-01-17 1:42 AM,2022-01-17 11:00 AM,541,17,14,558,96,365,80
2022-01-07 12:35 AM,2022-01-07 4:32 AM,233,3,0,237,NA,NA,NA
2022-01-06 5:21 AM,2022-01-06 9:59 AM,241,36,14,277,41,152,48
2022-01-05 12:45 PM,2022-01-05 4:33 PM,201,27,10,228,32,161,8
2022-01-04 11:53 PM,2022-01-05 9:11 AM,485,73,33,558,117,266,102
2022-01-04 2:12 AM,2022-01-04 10:37 AM,441,64,21,505,91,278,72
2022-01-03 3:25 PM,2022-01-03 5:14 PM,109,0,0,109,NA,NA,NA
2022-01-03 1:33 AM,2022-01-03 8:46 AM,376,57,24,433,76,198,102
2022-01-02 5:24 AM,2022-01-02 12:55 PM,415,36,22,451,77,249,89
2022-01-01 4:00 AM,2022-01-01 8:17 AM,234,22,7,256,66,120,48
2021-12-31 1:59 AM,2021-12-31 8:42 AM,353,50,16,403,61,217,75
2021-12-30 3:41 AM,2021-12-30 6:50 AM,164,24,7,188,32,112,20
2020-04-28 11:05 PM,2020-04-29 7:52 AM,472,55,22,527,97,318,57
2020-04-28 1:06 AM,2020-04-28 8:11 AM,401,23,0,425,NA,NA,NA
2020-04-24 10:51 PM,2020-04-25 4:21 AM,311,19,1,330,NA,NA,NA
2020-04-23 12:26 AM,2020-04-23 7:37 AM,400,31,2,431,NA,NA,NA
