sleep_log_entry_id,timestamp,overall_score,composition_score,revitalization_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness
36084424771,2022-03-13T11:13:30Z,70,20,22,28,35,52,0.06845965770171149
36073428335,2022-03-12T11:53:00Z,79,23,14,42,122,50,0.040923399790136414
36058935853,2022-03-11T09:14:00Z,70,19,20,31,56,51,0.07391910739191074
36046820785,2022-03-10T09:15:00Z,65,21,13,31,58,49,0.05084745762711865
36018439768,2022-03-08T10:41:30Z,83,22,21,40,101,49,0.06628787878787878
36005527550,2022-03-07T09:12:30Z,77,18,24,35,85,52,0.05426356589147287
35990571378,2022-03-05T11:35:30Z,75,21,17,37,67,52,0.012987012987012988
35949378334,2022-03-03T08:58:30Z,80,22,22,36,86,52,0.0460772104607721
35937233901,2022-03-02T07:48:00Z,77,22,19,36,117,51,0.05636978579481398
35924916900,2022-03-01T07:54:00Z,75,20,14,41,70,49,0.06825232678386763
35911282523,2022-02-28T08:44:00Z,74,22,22,30,93,53,0.05855338691159587
35904269843,2022-02-26T05:54:00Z,62,16,22,24,52,52,0.042884990253411304
35904269842,2022-02-25T08:49:00Z,70,21,15,34,55,52,0.024299065420560748
35861285612,2022-02-24T11:21:00Z,88,20,23,45,76,54,0.05123825789923143
35847831053,2022-02-23T09:04:30Z,76,21,18,37,43,53,0.05100671140939597
35837129945,2022-02-22T09:16:30Z,86,21,24,41,83,55,0.04908565928777671
35837129943,2022-02-21T11:20:00Z,85,22,18,45,90,56,0.029515108924806747
35837129942,2022-02-20T09:12:00Z,62,14,15,33,21,56,0.02773246329526917
35837129941,2022-02-19T10:22:00Z,63,21,12,30,58,56,0.2094175960346964
35779999274,2022-02-18T08:57:30Z,75,21,18,36,55,55,0.05320600272851296
35752104545,2022-02-16T07:22:00Z,68,17,17,34,59,53,0.05756358768406961
35744872146,2022-02-15T09:42:00Z,81,24,14,43,137,53,0.05840886203423968
35727095407,2022-02-14T09:49:30Z,78,23,15,40,122,51,0.06917599186164802
35706298821,2022-02-12T10:22:00Z,75,20,21,34,59,51,0.05776892430278884
35671796557,2022-02-10T08:02:30Z,82,20,24,38,54,52,0.05514316012725345
35665218885,2022-02-09T07:33:30Z,70,20,18,32,86,52,0.04896907216494845
35665218884,2022-02-08T08:31:00Z,70,17,22,31,76,53,0.08695652173913043
35665218883,2022-02-07T09:40:30Z,81,17,22,42,81,54,0.050930460333006855
35617742572,2022-02-06T10:53:30Z,57,17,13,27,34,52,0.037383177570093455
35608710785,2022-02-05T10:00:00Z,71,21,14,36,82,50,0.04685212298682284
35591237899,2022-02-04T09:41:00Z,84,24,22,38,125,51,0.056429232192414434
35578203807,2022-02-03T07:25:00Z,72,17,22,33,78,54,0.04658721560130011
35578203806,2022-02-02T09:25:30Z,66,17,20,29,57,54,0.042440318302387266
35551263135,2022-02-01T08:40:00Z,77,22,17,38,88,52,0.0468384074941452
35545160971,2022-01-31T07:27:00Z,80,21,21,38,61,53,0.048109965635738834
35545160970,2022-01-29T09:59:30Z,78,24,14,40,137,52,0.0436241610738255
35496654631,2022-01-28T08:10:00Z,70,20,14,36,78,49,0.0289193302891933
35482801338,2022-01-27T08:45:00Z,90,21,24,45,72,52,0.04591368227731864
35469215435,2022-01-26T10:13:30Z,87,22,21,44,87,51,0.041245791245791245
35413613087,2022-01-22T11:20:30Z,72,19,17,36,73,50,0.0425531914893617
35401315352,2022-01-21T09:59:30Z,65,21,13,31,69,48,0.11096433289299867
35387255823,2022-01-20T09:26:30Z,85,21,19,45,77,49,0.07494646680942184
35373952194,2022-01-19T10:29:00Z,72,17,22,33,90,49,0.0641025641025641
35360934532,2022-01-18T10:59:00Z,85,20,21,44,70,49,0.04035512510088781
35349289368,2022-01-17T16:37:30Z,66,19,18,29,22,52,0.13812154696132597
35348021180,2022-01-17T11:00:00Z,90,19,24,47,79,52,0.03587443946188341
35200934534,2022-01-06T09:59:00Z,59,17,17,25,48,53,0.06486486486486487
35189219475,2022-01-05T16:33:00Z,65,14,23,28,8,56,0.06741573033707865
35188709332,2022-01-05T09:11:30Z,89,22,23,44,102,56,0.08415398388540735
35188709331,2022-01-04T10:37:30Z,83,20,22,41,72,57,0.056451612903225805
35188709329,2022-01-03T08:46:00Z,77,20,22,35,101,58,0.08323699421965318
35188709328,2022-01-02T12:55:30Z,83,19,24,40,89,58,0.046511627906976744
35131582592,2022-01-01T08:17:00Z,64,21,16,27,48,55,0.031189083820662766
35131582591,2021-12-31T08:42:30Z,73,18,21,34,75,56,0.08178438661710037
35131582590,2021-12-30T06:50:00Z,65,17,21,27,20,55,0.0636604774535809
26941455949,2020-04-29T07:52:30Z,77,19,17,41,56,49,0.04549763033175355
26876276856,2020-04-21T08:41:30Z,73,21,21,31,50,50,0.07188160676532769
26807526186,2020-04-20T08:22:00Z,82,22,18,42,86,49,0.06963249516441006
26798989826,2020-04-19T07:32:00Z,68,20,13,35,64,47,0.08108108108108109
26786733364,2020-04-18T10:29:00Z,89,21,22,46,60,48,0.06286672254819782
26772403812,2020-04-17T08:37:30Z,84,21,23,40,86,49,0.04527162977867203
26759426710,2020-04-16T08:32:00Z,79,19,22,38,92,50,0.09617271835132483
26747488848,2020-04-15T07:46:00Z,80,17,22,41,56,52,0.07177033492822966
26595573229,2020-04-04T09:48:00Z,86,23,17,46,121,57,0.06445497630331753
26540807714,2020-03-25T09:08:00Z,84,21,22,41,71,54,0.05639476334340383
26411372595,2020-03-21T04:21:00Z,50,19,15,16,83,51,0.11442786069651742
26411372594,2020-03-19T09:31:00Z,87,21,21,45,73,51,0.1169744942832014
26411372593,2020-03-18T08:24:30Z,82,22,18,42,97,51,0.013550135501355014
26411372592,2020-03-17T08:39:00Z,81,22,21,38,89,50,0.07717750826901874
26411372591,2020-03-16T10:49:30Z,87,21,22,44,120,51,0.058078927773641105
26411372590,2020-03-15T09:50:30Z,56,17,16,23,41,49,0.04900181488203267
26141132343,2020-03-02T11:38:30Z,91,25,22,44,147,51,0.06949524506217995
26129621875,2020-03-01T11:17:30Z,82,22,23,37,98,54,0.03948896631823461
26129621874,2020-02-29T08:06:30Z,63,15,19,29,67,54,0.02158273381294964
26129621873,2020-02-28T11:15:00Z,88,21,21,46,65,54,0.0711071107110711
26083977225,2020-02-27T08:20:00Z,68,19,20,29,62,55,0.047954866008462625
26073689170,2020-02-26T07:16:00Z,73,21,20,32,73,52,0.045889101338432124
26039854604,2020-02-24T09:30:30Z,87,20,22,45,50,54,0.053979871912168347
26039854603,2020-02-23T08:14:30Z,80,21,23,36,73,54,0.036585365853658534
26039854602,2020-02-22T07:47:30Z,72,19,17,36,68,55,0.07953063885267275
25995387790,2020-02-21T08:15:30Z,86,21,24,41,70,56,0.058823529411764705
25972895893,2020-02-20T06:00:00Z,73,21,21,31,66,59,0.09391304347826086
25945730453,2020-02-17T15:26:30Z,77,21,21,35,42,61,0.019762845849802372
25928921712,2020-02-16T07:50:00Z,65,21,16,28,62,58,0.06386861313868614
25904002289,2020-02-14T05:45:00Z,59,17,15,27,38,50,0.05215419501133787
25904002288,2020-02-13T06:28:30Z,66,22,15,29,100,50,0.07208872458410351
25904002287,2020-02-12T05:56:30Z,73,21,20,32,58,50,0.04606240713224369
25904002286,2020-02-11T06:00:00Z,73,22,16,35,83,49,0.06003159557661927
25835215180,2020-02-09T07:52:30Z,67,18,20,29,41,49,0.0638930163447251
25835215178,2020-02-08T11:22:30Z,88,23,20,45,121,49,0.04462151394422311
25835215177,2020-02-07T06:04:00Z,67,21,13,33,63,49,0.08157099697885196
25772403983,2020-02-05T05:59:30Z,77,21,22,34,68,50,0.05718270571827057
25763407795,2020-02-04T06:03:30Z,75,21,17,37,80,50,0.06722689075630252
25763407794,2020-02-03T05:56:00Z,73,24,15,34,124,50,0.11886304909560723
25732454567,2020-02-02T10:10:30Z,66,20,20,26,116,49,0.07976878612716763
25705399611,2020-01-31T07:28:30Z,83,23,21,39,111,50,0.07502930832356389
25685489355,2020-01-30T08:31:00Z,75,23,17,35,108,52,0.08695652173913043
25667316644,2020-01-29T09:09:00Z,81,24,18,39,127,53,0.07534983853606028
25645569654,2020-01-28T08:27:30Z,76,21,17,38,50,54,0.07466340269277846
25484750648,2020-01-17T06:35:00Z,68,17,23,28,41,55,0.059665871121718374
25467588331,2020-01-16T06:57:00Z,67,16,22,29,26,58,0.07680722891566265
25454614578,2020-01-15T08:13:30Z,80,22,14,44,105,55,0.07360226468506724
25454614577,2020-01-14T07:18:00Z,65,20,21,24,32,56,0.0858085808580858
25454614576,2020-01-13T08:28:00Z,72,21,19,32,60,56,0.12438785504407443
25408516969,2020-01-12T09:11:30Z,80,20,22,38,34,56,0.07012487992315082
25365020524,2020-01-09T06:40:00Z,72,18,21,33,54,55,0.0625
25365020523,2020-01-08T07:38:30Z,74,19,22,33,59,56,0.07119741100323625
25365020522,2020-01-06T07:55:00Z,80,22,22,36,102,56,0.06416464891041163
25365020521,2020-01-05T07:19:00Z,75,21,17,37,60,56,0.06634499396863691
25365020520,2020-01-04T08:12:00Z,86,23,16,47,111,55,0.030563514804202482
25210295945,2019-12-30T11:41:00Z,80,22,14,44,126,53,0.059821428571428574
25196173078,2019-12-29T09:46:00Z,69,19,21,29,80,57,0.0780559646539028
25196173077,2019-12-28T10:47:00Z,78,21,20,37,62,57,0.037267080745341616
25196173076,2019-12-27T11:08:00Z,91,22,23,46,88,57,0.03784295175023652
25196173075,2019-12-26T09:53:00Z,83,21,22,40,41,57,0.04788418708240535
25196173074,2019-12-25T09:52:30Z,83,22,22,39,98,57,0.04597701149425287
25019802252,2019-12-09T11:28:30Z,91,21,24,46,79,53,0.036521739130434785
24903250480,2019-12-05T08:43:00Z,73,16,23,34,66,54,0.06373937677053824
24895952160,2019-12-04T07:30:30Z,72,18,22,32,96,57,0.07152496626180836
24895952159,2019-12-03T09:21:30Z,84,19,24,41,72,58,0.04339440694310511
24895952157,2019-12-02T07:35:30Z,77,21,24,32,66,59,0.0549777117384844
24814214913,2019-11-28T10:27:30Z,72,20,22,30,72,59,0.07004470938897168
24802624995,2019-11-27T09:20:30Z,79,21,20,38,110,60,0.06906338694418164
24792466269,2019-11-26T09:15:30Z,85,24,15,46,135,57,0.055598455598455596
24792466268,2019-11-25T10:16:00Z,54,14,14,26,14,58,0.0755939524838013
24792466266,2019-11-24T11:21:30Z,88,25,18,45,191,59,0.029921259842519685
24755212558,2019-11-23T08:17:30Z,63,21,13,29,42,55,0.05063291139240506
24745882330,2019-11-21T08:58:00Z,87,24,22,41,128,51,0.05036726128016789
24745882329,2019-11-20T10:18:00Z,87,23,18,46,118,52,0.058311575282854654
24745882328,2019-11-19T09:08:00Z,76,21,20,35,73,51,0.05726256983240224
24745882326,2019-11-17T09:56:30Z,74,21,14,39,64,50,0.08615682478218781
24745882325,2019-11-16T12:19:30Z,83,23,15,45,119,49,0.03869303525365434
24271043962,2019-10-15T09:17:00Z,77,17,22,38,53,49,0.055819477434679333
24256804487,2019-10-14T08:23:00Z,82,17,23,42,106,52,0.06471816283924843
24250168540,2019-10-12T08:23:00Z,82,22,22,38,89,54,0.03695150115473441
24250168539,2019-10-11T07:40:30Z,77,17,23,37,43,55,0.046296296296296294
24250168538,2019-10-10T08:33:30Z,72,19,17,36,65,56,0.0679177837354781
24250168536,2019-10-09T07:42:30Z,57,15,10,32,54,54,0.16974169741697417
24250168535,2019-10-08T09:13:30Z,86,21,22,43,47,52,0.03670745272525028
24127809494,2019-09-28T08:36:00Z,82,20,23,39,58,52,0.027149321266968326
24026056430,2019-09-26T09:05:30Z,77,17,24,36,35,56,0.03608847497089639
24026056429,2019-09-25T06:50:30Z,76,21,23,32,64,55,0.03419972640218878
24026056428,2019-09-24T05:58:00Z,65,14,23,28,11,54,0.01639344262295082
24026056427,2019-09-23T07:47:00Z,72,16,23,33,56,54,0.047556142668428
24026056425,2019-09-20T10:36:30Z,81,20,17,44,60,52,0.0796847635726795
23727775723,2019-09-04T08:30:30Z,80,21,22,37,76,50,0.05170239596469105
23714131381,2019-09-03T10:17:30Z,83,20,23,40,74,53,0.05330700888450148
23701397906,2019-09-02T10:39:30Z,82,20,23,39,100,55,0.07522935779816514
23688747976,2019-09-01T06:20:00Z,87,21,23,43,64,56,0.043704474505723206
23688747975,2019-08-31T06:39:00Z,79,22,24,33,88,56,0.040875912408759124
